quien,version,threads,schedule,repeticion,segundos
Adriana,secuencial,1,static,1,17.4998
Adriana,secuencial,1,static,2,15.4737
Adriana,secuencial,1,static,3,16.5304
Adriana,secuencial,1,static,4,16.0768
Adriana,secuencial,1,static,5,7.9614
Adriana,secuencial,1,static,6,7.4201
Adriana,secuencial,1,static,7,7.3588
Adriana,secuencial,1,static,8,7.3209
Adriana,secuencial,1,static,9,7.4904
Adriana,secuencial,1,static,10,7.2305
Adriana,secuencial,1,static,11,7.2107
Adriana,secuencial,1,static,12,7.3301
Adriana,paralelo,10,static,1,3.3548
Adriana,paralelo,10,static,2,3.3355
Adriana,paralelo,10,static,3,3.1725
Adriana,paralelo,10,static,4,3.1046
Adriana,paralelo,10,static,5,3.1872
Adriana,paralelo,10,static,6,3.2003
Adriana,paralelo,10,static,7,3.2145
Adriana,paralelo,10,static,8,2.9713
Adriana,paralelo,10,static,9,2.8229
Adriana,paralelo,10,static,10,2.8237
Adriana,paralelo,10,static,11,2.9527
Adriana,paralelo,10,static,12,2.9216
Adriana,paralelo,10,guided,1,2.6499
Adriana,paralelo,10,guided,2,2.8008
Adriana,paralelo,10,guided,3,2.7565
Adriana,paralelo,10,guided,4,2.6948
Adriana,paralelo,10,guided,5,2.6606
Adriana,paralelo,10,guided,6,2.7290
Adriana,paralelo,10,guided,7,2.7904
Adriana,paralelo,10,guided,8,2.6855
Adriana,paralelo,10,guided,9,2.8538
Adriana,paralelo,10,guided,10,2.6097
Adriana,paralelo,10,guided,11,2.6445
Adriana,paralelo,10,guided,12,2.6442
Adriana,paralelo,10,dynamic,1,1,3.5235
Adriana,paralelo,10,dynamic,1,2,3.4555
Adriana,paralelo,10,dynamic,1,3,3.4934
Adriana,paralelo,10,dynamic,1,4,3.4438
Adriana,paralelo,10,dynamic,1,5,3.3884
Adriana,paralelo,10,dynamic,1,6,3.5693
Adriana,paralelo,10,dynamic,1,7,3.4383
Adriana,paralelo,10,dynamic,1,8,3.3526
Adriana,paralelo,10,dynamic,1,9,3.4164
Adriana,paralelo,10,dynamic,1,10,3.3278
Adriana,paralelo,10,dynamic,1,11,3.5428
Adriana,paralelo,10,dynamic,1,12,3.7272
Adriana,paralelo,10,dynamic,16,1,2.9248
Adriana,paralelo,10,dynamic,16,2,2.7384
Adriana,paralelo,10,dynamic,16,3,2.6542
Adriana,paralelo,10,dynamic,16,4,2.6342
Adriana,paralelo,10,dynamic,16,5,2.5223
Adriana,paralelo,10,dynamic,16,6,2.4834
Adriana,paralelo,10,dynamic,16,7,2.5930
Adriana,paralelo,10,dynamic,16,8,3.7299
Adriana,paralelo,10,dynamic,16,9,3.3764
Adriana,paralelo,10,dynamic,16,10,2.4879
Adriana,paralelo,10,dynamic,16,11,2.4915
Adriana,paralelo,10,dynamic,16,12,2.4891
Adriana,paralelo,10,dynamic,64,1,2.5047
Adriana,paralelo,10,dynamic,64,2,2.5566
Adriana,paralelo,10,dynamic,64,3,2.6406
Adriana,paralelo,10,dynamic,64,4,2.6152
Adriana,paralelo,10,dynamic,64,5,2.5236
Adriana,paralelo,10,dynamic,64,6,2.6018
Adriana,paralelo,10,dynamic,64,7,2.6161
