quien,version,threads,schedule,repeticion,segundos
Bryan,secuencial,1,static,1,7.8316
Bryan,secuencial,1,static,2,7.3652
Bryan,secuencial,1,static,3,7.5458
Bryan,secuencial,1,static,4,7.1641
Bryan,secuencial,1,static,5,9.1330
Bryan,secuencial,1,static,6,8.2629
Bryan,secuencial,1,static,7,10.8918
Bryan,secuencial,1,static,8,8.2265
Bryan,secuencial,1,static,9,8.7244
Bryan,secuencial,1,static,10,9.0618
Bryan,secuencial,1,static,11,7.9241
Bryan,secuencial,1,static,12,7.7767
Bryan,paralelo,10,static,1,3.3197
Bryan,paralelo,10,static,2,3.2196
Bryan,paralelo,10,static,3,3.1734
Bryan,paralelo,10,static,4,3.2982
Bryan,paralelo,10,static,5,3.2048
Bryan,paralelo,10,static,6,3.1795
Bryan,paralelo,10,static,7,3.1712
Bryan,paralelo,10,static,8,3.3021
Bryan,paralelo,10,static,9,3.1861
Bryan,paralelo,10,static,10,3.1828
Bryan,paralelo,10,static,11,3.4318
Bryan,paralelo,10,static,12,3.3641
Bryan,paralelo,10,guided,1,3.0433
Bryan,paralelo,10,guided,2,3.0639
Bryan,paralelo,10,guided,3,2.9096
Bryan,paralelo,10,guided,4,2.9857
Bryan,paralelo,10,guided,5,3.0240
Bryan,paralelo,10,guided,6,3.2109
Bryan,paralelo,10,guided,7,3.1028
Bryan,paralelo,10,guided,8,3.0318
Bryan,paralelo,10,guided,9,3.1082
Bryan,paralelo,10,guided,10,3.0386
Bryan,paralelo,10,guided,11,3.1173
Bryan,paralelo,10,guided,12,2.9727
Bryan,paralelo,10,dynamic,1,1,3.7372
Bryan,paralelo,10,dynamic,1,2,3.9410
Bryan,paralelo,10,dynamic,1,3,3.8071
Bryan,paralelo,10,dynamic,1,4,3.8585
Bryan,paralelo,10,dynamic,1,5,3.9665
Bryan,paralelo,10,dynamic,1,6,3.7909
Bryan,paralelo,10,dynamic,1,7,3.8554
Bryan,paralelo,10,dynamic,1,8,3.7062
Bryan,paralelo,10,dynamic,1,9,3.7296
Bryan,paralelo,10,dynamic,1,10,4.2397
Bryan,paralelo,10,dynamic,1,11,3.9354
Bryan,paralelo,10,dynamic,1,12,3.8796
Bryan,paralelo,10,dynamic,16,1,2.9270
Bryan,paralelo,10,dynamic,16,2,3.1003
Bryan,paralelo,10,dynamic,16,3,3.0659
Bryan,paralelo,10,dynamic,16,4,3.0364
Bryan,paralelo,10,dynamic,16,5,5.1368
Bryan,paralelo,10,dynamic,16,6,3.2602
Bryan,paralelo,10,dynamic,16,7,2.9787
Bryan,paralelo,10,dynamic,16,8,2.9884
Bryan,paralelo,10,dynamic,16,9,2.9801
Bryan,paralelo,10,dynamic,16,10,3.0531
Bryan,paralelo,10,dynamic,16,11,2.9310
Bryan,paralelo,10,dynamic,16,12,3.0522
Bryan,paralelo,10,dynamic,64,1,2.9391
Bryan,paralelo,10,dynamic,64,2,2.9313
Bryan,paralelo,10,dynamic,64,3,2.9106
Bryan,paralelo,10,dynamic,64,4,2.8921
Bryan,paralelo,10,dynamic,64,5,3.0217
Bryan,paralelo,10,dynamic,64,6,2.8995
Bryan,paralelo,10,dynamic,64,7,2.9049
Bryan,paralelo,10,dynamic,64,8,2.8675
Bryan,paralelo,10,dynamic,64,9,2.9244
Bryan,paralelo,10,dynamic,64,10,3.0474
Bryan,paralelo,10,dynamic,64,11,2.9280
